Date;SAS_GPL;SAS_TTF;SAS_NCG;SAS_NBP
22/09/2014;-1.89933333;-2.01233333;-1.76233333;-10.78503116
23/09/2014;-1.9895;-2.1025;-1.8525;-22.00421839
24/09/2014;-1.93533333;-2.04833333;-1.79833333;-17.58828661
25/09/2014;-1.6555;-1.7685;-1.5185;-9.67863542
30/09/2014;0.34116667;0.39116667;0.50416667;-14.53958519
01/10/2014;0.34116667;0.39116667;0.50416667;-6.24697013
02/10/2014;0.58516667;0.21016667;0.13516667;-7.29705084
03/10/2014;0.31666667;-0.05833333;-0.13333333;-12.136992
06/10/2014;-0.42916667;-0.27916667;-0.27916667;-11.10750072
07/10/2014;-0.29933333;-0.14933333;-0.14933333;-6.92212161
08/10/2014;-0.15216667;-0.00216667;-0.00216667;-8.52996417
09/10/2014;-0.09966667;0.05033333;0.05033333;-10.7632032
10/10/2014;-0.14833333;0.00166667;0.00166667;2.05359555
13/10/2014;-0.33666667;-0.17466667;-0.11266667;-12.34671888
14/10/2014;-0.188;-0.026;0.036;-10.65769662
15/10/2014;-0.19216667;-0.03016667;0.03183333;-14.35228715
16/10/2014;-0.0705;0.0915;0.1535;-5.09251573
20/10/2014;0.2625;-0.1495;-0.1875;-6.96111707
21/10/2014;0.36216667;-0.04983333;-0.08783333;-3.0115325
22/10/2014;0.41283333;0.00083333;-0.03716667;-10.32388773
23/10/2014;0.23483333;-0.17716667;-0.21516667;-3.93618366
24/10/2014;0.22566667;-0.18633333;-0.22433333;-7.36214646
27/10/2014;-0.12716667;-0.28916667;-0.27716667;15.03295531
28/10/2014;0.02766667;-0.13433333;-0.12233333;22.84087248
29/10/2014;0.164;0.002;0.014;15.94560752
30/10/2014;0.87916667;0.80416667;0.79116667;25.43273678
31/10/2014;0.66233333;0.50033333;0.51233333;23.54497817
03/11/2014;0.9375;0.6505;0.7125;3.78893786
04/11/2014;0.84;0.553;0.615;-3.30787666
05/11/2014;0.77616667;0.48916667;0.55116667;-14.80535561
06/11/2014;0.70516667;0.41816667;0.48016667;-7.40604314
07/11/2014;0.80633333;0.51933333;0.58133333;-12.14006312
10/11/2014;0.70933333;0.50933333;0.49733333;12.72112718
11/11/2014;0.58733333;0.38733333;0.37533333;22.60091568
12/11/2014;0.715;0.515;0.503;5.36311117
13/11/2014;0.5605;0.3605;0.3485;-0.95993893
14/11/2014;0.42433333;0.22433333;0.21233333;-17.11585114
17/11/2014;0.75683333;0.54383333;0.45683333;11.8239481
18/11/2014;0.762;0.549;0.462;37.0708398
19/11/2014;0.723;0.51;0.423;-8.19389709
20/11/2014;0.87383333;0.66083333;0.57383333;-10.22924361
21/11/2014;0.8555;0.6425;0.5555;-9.30075446
24/11/2014;1.04966667;0.78766667;0.65066667;36.65176035
26/11/2014;1.39716667;1.13516667;0.99816667;-5.9207755
27/11/2014;1.30833333;1.32133333;1.18433333;-19.16526503
28/11/2014;1.2505;1.2635;1.1265;43.17521261
01/12/2014;1.0945;1.3195;1.3695;30.47185742
02/12/2014;0.95866667;1.18366667;1.23366667;4.01213745
03/12/2014;0.96583333;1.19083333;1.24083333;25.12924891
04/12/2014;1.01116667;1.23616667;1.28616667;43.05507276
05/12/2014;0.82;1.045;1.095;-1.58404664
08/12/2014;0.9155;0.9535;0.8665;-7.79758427
09/12/2014;0.91283333;0.95083333;0.86383333;3.90489142
10/12/2014;0.961;0.999;0.912;8.92209871
11/12/2014;0.86516667;0.90316667;0.81616667;42.15036257
12/12/2014;0.849;0.887;0.8;11.15871121
15/12/2014;0.59383333;0.78183333;0.60683333;-12.04554536
16/12/2014;0.73733333;0.92533333;0.75033333;-11.14903619
17/12/2014;0.66433333;0.85233333;0.67733333;-11.73462366
18/12/2014;0.76;0.948;0.773;-13.96480167
19/12/2014;0.76816667;0.95616667;0.78116667;-10.50070846
22/12/2014;1.04833333;0.91133333;0.82333333;-13.18060979
23/12/2014;1.11316667;0.97616667;0.88816667;-13.95848043
24/12/2014;1.15433333;1.01733333;0.92933333;43.7482545
26/12/2014;1.15433333;1.01733333;0.92933333;11.1730252
29/12/2014;0.79566667;0.73366667;0.93366667;31.08474006
30/12/2014;0.94916667;0.94916667;1.44916667;16.29034346
31/12/2014;0.6625;0.8005;0.8505;-5.28102974
02/01/2015;0.586;0.724;0.774;-9.08818504
05/01/2015;0.57216667;0.61016667;0.58516667;42.58733676
06/01/2015;0.55683333;0.59483333;0.56983333;-10.27969561
07/01/2015;0.55908333;0.59708333;0.57208333;21.39817939
08/01/2015;0.56133333;0.59933333;0.57433333;-12.71869475
09/01/2015;0.4925;0.5305;0.5055;22.40742243
12/01/2015;0.7235;0.6985;-0.0395;13.1811527
13/01/2015;0.99783333;0.97283333;0.23483333;-21.24112567
14/01/2015;1.1925;1.1675;1.1925;34.32128612
15/01/2015;0.95833333;0.93333333;0.95833333;10.40304297
16/01/2015;0.82283333;0.79783333;0.82283333;-9.26198386
19/01/2015;0.884;0.647;0.547;-1.75068384
20/01/2015;0.85383333;0.61683333;0.51683333;-5.37013732
21/01/2015;0.84833333;0.61133333;0.51133333;40.46194134
22/01/2015;0.8705;0.6335;0.5335;22.94413403
23/01/2015;0.717;0.48;0.38;-8.34907667
26/01/2015;0.81366667;0.58866667;0.82566667;9.290519
27/01/2015;0.87433333;0.64933333;0.88633333;1.92166321
28/01/2015;1.00666667;0.78166667;1.01866667;9.09464407
29/01/2015;0.99866667;0.82366667;1.03566667;-13.88791741
30/01/2015;0.98816667;0.81316667;0.96983333;19.14556508
02/02/2015;0.91866667;0.66866667;0.74533333;12.23167513
03/02/2015;0.76816667;0.53283333;0.45616667;-8.16399939
04/02/2015;0.79816667;0.56283333;0.48616667;13.72466176
05/02/2015;0.84333333;0.608;0.53133333;-15.47094338
06/02/2015;0.72566667;0.49033333;0.41366667;-2.8174116
09/02/2015;0.63983333;0.45233333;0.532;-17.61649847
10/02/2015;0.92933333;0.74183333;0.8215;-5.91076238
11/02/2015;1.16116667;0.97366667;1.05333333;-14.16843238
12/02/2015;1.64633333;1.45883333;1.5385;30.33573234
13/02/2015;1.44916667;1.26166667;1.34133333;16.26488866
16/02/2015;1.073;0.97716667;0.94633333;8.91097346
17/02/2015;1.07616667;0.98033333;0.9495;31.82038794
18/02/2015;0.95333333;0.8575;0.82666667;18.24231382
19/02/2015;0.854;0.75816667;0.72733333;-3.51007408
20/02/2015;0.98266667;0.88683333;0.856;-7.31521569
23/02/2015;0.83533333;0.84583333;0.923;1.75166695
24/02/2015;0.937;0.9475;1.02466667;32.12064129
25/02/2015;1.094;1.1045;1.18166667;-19.30096584
26/02/2015;0.9975;1.07;1.05916667;-10.91911792
27/02/2015;1.03383333;0.93966667;0.913;9.60385432
02/03/2015;-1.01883333;-0.89383333;-0.91883333;36.13709176
03/03/2015;-1.26333333;-1.13833333;-1.25133333;35.81078188
04/03/2015;-1.231;-1.106;-1.219;20.20610381
05/03/2015;-1.451;-1.326;-1.439;17.72157432
06/03/2015;-1.37983333;-1.25483333;-1.36783333;-2.44172724
09/03/2015;-1.0965;-1.0335;-1.0585;-18.97734753
