Date (CET);LDZ;Actual;Normal
27/01/2016;561.7264054;-0.457042957;0.595908648
28/01/2016;569.5406444;-0.313186813;0.621307126
29/01/2016;644.2156428;-3.179320679;0.649344341
30/01/2016;630.1383972;-2.688911089;0.680011984
31/01/2016;603.6005864;-0.895004995;0.713300967
01/02/2016;536.273401;2.658541459;0.749201428
02/02/2016;500.5376798;2.973626374;0.787702726
03/02/2016;527.7551194;1.654345654;0.828793455
04/02/2016;516.6478694;2.569430569;0.872461437
05/02/2016;551.1599286;2.312187812;0.918693733
06/02/2016;416.8808592;6.325574426;0.967476643
07/02/2016;382.9194864;7.571028971;1.018795712
08/02/2016;430.09402;6.321378621;1.072635733
09/02/2016;437.9938662;5.72047952;1.128980751
10/02/2016;497.5156846;4.23016983;1.187814072
11/02/2016;458.0721082;4.9000999;1.24911826
12/02/2016;479.0942752;4.463236763;1.312875151
13/02/2016;434.0008466;5.504995005;1.379065852
14/02/2016;449.2273272;5.037862138;1.447670748
15/02/2016;373.7176498;8.994605395;1.518669512
16/02/2016;408.6261296;6.531268731;1.592041104
17/02/2016;446.9602432;5.230669331;1.667763783
18/02/2016;467.3527036;4.946953047;1.74581511
19/02/2016;404.6080202;6.285014985;1.826171958
20/02/2016;389.2808104;7.315784216;1.908810515
21/02/2016;401.523348;6.690809191;1.993706292
22/02/2016;452.66335;5.233466533;2.080834135
23/02/2016;423.6462304;5.91988012;2.170168225
24/02/2016;435.5178468;6.396203796;2.26168209
25/02/2016;408.3864974;7.411288711;2.355348613
26/02/2016;377.025269;7.25984016;2.451140038
27/02/2016;415.441983;5.984615385;2.549027981
28/02/2016;423.1413342;5.318581419;2.648983434
29/02/2016;452.8704548;4.658741259;2.75097678
01/03/2016;455.4520528;4.791208791;2.854977795
02/03/2016;451.9646168;5.382417582;2.960955661
03/03/2016;410.9870196;5.828071928;3.068878975
04/03/2016;405.4187044;5.92977023;3.178715758
05/03/2016;436.5961292;5.895704296;3.290433461
06/03/2016;421.4377374;6.45964036;3.403998981
07/03/2016;392.172439;7.846153846;3.519378665
08/03/2016;337.6530216;10.14955045;3.636538325
09/03/2016;325.6787128;9.713886114;3.755443242
10/03/2016;359.8567002;7.974825175;3.876058184
11/03/2016;334.6459842;8.187312687;3.99834741
12/03/2016;336.2798682;9.042157842;4.122274681
13/03/2016;353.7318502;8.444655345;4.247803277
14/03/2016;362.0318338;8.485714286;4.374896
15/03/2016;313.0186296;9.494005994;4.50351519
16/03/2016;296.4307474;10.1955045;4.633622734
17/03/2016;307.0035558;9.990909091;4.765180079
